year,whirr,continuum,cayenne,jclouds,metamodel,any23,tez,qpid-proton,accumulo,hudi,geode,pdfbox,drill,axis-axis2-java-core,phoenix,giraph,avro,flink,parquet-mr,plc4x,turbine-core,lens,flume,cxf,james-project,calcite,openmeetings,pig,activemq,hbase,isis,mina,commons-configuration,commons-io,commons-dbutils,commons-dbcp,curator,mahout,commons-csv,jackrabbit-oak,ignite,thrift,skywalking,myfaces,zeppelin,crunch,struts,commons-lang,commons-collections,maven,lucene-solr,servicemix,oltu,xmlgraphics-commons,tika,olingo-odata4,syncope,archiva,falcon,yetus,shiro,sqoop,chemistry-opencmis,mrunit,httpcomponents-core,mina-sshd,storm,polygene-java,cassandra,clerezza,aries,fluo,wicket,ws-axiom,tiles,empire-db,xmlgraphics-fop,commons-compress,bval,karaf,fluo-recipes,commons-vfs,tajo,hive,sling-org-apache-sling-models-impl,solr,oodt,commons-email,reef,deltaspike,manifoldcf,felix,opennlp,beam,logging-log4j2,httpcomponents-client,cocoon,spark,ambari,tomee,iotdb,bookkeeper,tomcat,mina-vysper,stratos,directory-kerby,knox,oozie,shindig,commons-text,creadur-rat,jena,tapestry-5,ofbiz-framework,zookeeper
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.028037383,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538,,,0.067901235,,,,0,,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,,,,,0.025862069,,,,,,,,,,,,,,,,,,
2007,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,0,0,0,,,,,,,,0.375,,,0.064171123,0,0,,0.021052632,,,0,,,,,,,,,,,,,,,,,,,0.001582278,0,0.259259259,,0,,,,,0,,,,0.021052632,,0,,,,,,,,,0,,,,,,,,,,,,,,,,0.052083333,,
2008,,0,0,,,,,,,,,,,,,,,,,,0,,,0.086346863,,,,,0,,,,0,0,,,,,,,,,,0.033333333,,,0.060810811,0,0,,0,,,0,,,,0.126923077,,,,,,,,,,0.024390244,,,,,0.001422475,,0.538461538,,0,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.050734312,,
2009,,0,0,,,,,,,,,,,,,,,,,,,,,0.082064858,,,,,0,,,,,,0,0,,,,,,,,0.207865169,,,0.075630252,,0,0.010869565,0,,,,,,,0.103174603,,,,,,,,0,,0.015384615,,,,,0.001305483,,0.648275862,,,0,,,,,,,,0,,0,,,,,,,,,0.214285714,,,,,,,,,,,,,,,,0.043325527,,
2009,,0,0,,,,,,,,,,,,,,,,,,,,,0.082064858,,,,,0,,,,,,0,0,,,,,,,,0.207865169,,,0.075630252,,0,0.010869565,0,,,,,,,0.103174603,,,,,,,,0,,0.015384615,,,,,0.001305483,,0.648275862,,,0,,,,,,,,0,,0,,,,,,,,,0,,,,,,,,,,,,,,,,0.043325527,,
2010,,0,0,0.119354839,,,,,,,,,,0,,,0,,,,,,,0.075900277,,,,0,0,0.061111111,,,,0,,0,,,,,,0,,0.166666667,,,0.069565217,0.027777778,,0.00877193,0.005148005,,,0,0.014705882,,,,,,0.25,,,,0,0,,0.005494505,0,,,,0.001234568,,0.653061224,,,,,0.245901639,,0,,0,,0.005148005,0,0,,,,,,,,0.137096774,,0,,,,,0,0,,,,,0.248201439,,,,0.043123543,,0
2011,0.150684932,,0.011450382,0.078609221,,,,,,,,,,0,,,0,,,,0,,,0.064653138,,,,0,0,0.078431373,,,0,0,0.130434783,,0.0625,,,,,0,,,,,0.063973064,0.033613445,0,0.008658009,0.002808989,,,,0.029126214,,,0.202290076,,,,,0,,0,0,,0.009433962,0,,,,0.010576923,,,,0,0,,0.232876712,,0,,0.026086957,,0.002808989,0,0,,,,,,,,0.211538462,0,,,,,0,0,0.05952381,,,,,0.286096257,,,,0.025043178,,0.007751938
2012,0.107843137,,0.011100833,0.080824089,,0,,,0,,,,,0,,0.304347826,0.037267081,,,,,,0.051470588,0.06547619,,,,0,0,0.079207921,0.002906977,0.08988764,0.009009009,0,0.166666667,,0.075949367,,,0.006134969,,,,,,0.189655172,0.060162602,,,0.008658009,0.002105263,,,0.017857143,0.025423729,,0,0.177700348,,,0.344,0,0.006896552,0,0.15942029,0,,0.003367003,0,,,,0.013961606,,0.553719008,0.071428571,0.074074074,0,0.008064516,0.233766234,,,,0.022727273,,0.002105263,0.022321429,0,,0,,,0,,0,0.214285714,,0,,,,0,0,,,,0.035714286,0.004065041,0.281984334,,0,0,0.019390582,,0.006993007
2013,0.104761905,0.011560694,0.021957914,0.064168086,0.034246575,0.086419753,0.361111111,0.056603774,0,,,,0,,,0.223880597,0.032786885,0.019662921,,,,,0.096590909,0.060617613,,,,0.001584786,0.000632911,0.113168724,0.000864304,0.09375,0.00862069,,0.192307692,,0.0625,,,0.006944444,,0,,,,0.207317073,0.0640625,0.02962963,0.02173913,0.012345679,0.002424242,,0.25,,0.024793388,,0,0.105726872,0.043478261,,0.344262295,0,0.010752688,0.103448276,0.226027397,0,0,0.003205128,0,0.037735849,,,0.013547841,0,0.553719008,0.071428571,,0,,0.226666667,,,0,0.021696252,,0.002424242,0.021645022,0.12,,0,,,0,,0.041811847,0.296969697,,0,0.269565217,0.001835985,,0,0,,0,,0.180451128,0.028125,0.3,,0,0,0.019766397,,
2014,0.103773585,0.017142857,0.013723696,0.063320023,0.029585799,0.086419753,0.316455696,0.087719298,0.071297989,,,,0.005181347,,0.081300813,0.124087591,0.031413613,0.035667107,,,,0.08,0.108247423,0.060805577,,,,0.004166667,0.0006035,0.106060606,0.000826446,0.067307692,0.34375,,0.192307692,0,0.037974684,,0,0.018302829,,0,,0.09255079,,0.202247191,0.065648855,0.028169014,,0.004048583,0.003171247,0.25,0.241935484,0.084507042,0.013245033,0.033149171,0,0.128099174,0.045714286,,0.349593496,0,0.02,0.125,0.226027397,0,0.076923077,,0,0.020134228,,0,0.013417522,,0.553719008,0.071428571,,0,,0.243697479,,,0.005405405,0.052333805,0.272727273,0.003171247,0.038910506,0.12,,0.002522068,,,0,,0.03117506,0.293413174,,0.060606061,0.390547264,0.002905288,,0,0,,0.062585034,,0.173913043,0.025568182,0.301104972,,0,0,0.017756255,,0.015384615
2015,,0.016574586,0.039837398,0.066027088,0.026737968,,0.36,0.090909091,0.075213675,,0,,0.011142061,0,0.084656085,0.11,0.030612245,0.072252114,,,0,0.092592593,0.105504587,0.061538462,,,0,0.007984032,0.003586066,0.110151188,0.000817661,0.066666667,0.345360825,0,,0,0.042944785,,0,0.024425287,0.000414079,0,0,0.092134831,0.126984127,0.171428571,0.0688,0.027027027,0.019417476,0.019083969,0.003213958,0.25,0.245901639,0.084507042,0.00913242,0.136460554,0,0.136752137,0.060869565,0,0.349593496,0.015706806,0.01980198,,0.215277778,0.14516129,0.076923077,0.003067485,0,0.023076923,,0,0.013127413,0.001706485,,0.071428571,0.151515152,0,0.008474576,0.170103093,,,0.00729927,0.068552775,0.277777778,0.003213958,0.038167939,0.12,0.014534884,0.002275313,0.021459227,,0,,0.030245747,0.297142857,,0.078313253,0.460431655,0.003378378,,0,0.002849003,,0.037593985,0,0.183035714,0.024725275,,,,0.002178649,0.01752988,,0.012658228
2016,,,0.049120235,0.065619742,0.02970297,,0.33201581,0.098591549,0.074875208,0.096774194,0.067686602,,0.022222222,0.00076746,0.088785047,0.086124402,0.029411765,0.104849279,,,,0.086294416,0.106666667,0.054863682,0.117857143,,0,0.00984252,0.004368932,0.112033195,0,0.066037736,0.341836735,0,,0,0.041666667,,0,0.050823193,0.000683761,0,0.08,0.093126386,0.177570093,0.160714286,0.07073955,0.024691358,,,0.005792305,0.071428571,0,0.083333333,0.008230453,0.138592751,0,0.14159292,0.079584775,0,0.330827068,,0.021505376,,0.126582278,0.137362637,0.068027211,,0,0.022900763,,0.016666667,0.014604151,0.0058873,0.553719008,0.068965517,0.157754011,0.00952381,0.008333333,0.157142857,0.027027027,0,0.007142857,0.084409136,0.276785714,0.005792305,0.038167939,,0.01305483,0.002085506,0.021459227,,0,,0.024767802,0.297752809,,0.074468085,0.441414141,0.002998501,,0,0.00984252,,0.037593985,0,0.207843137,0.026455026,,,0.033333333,0.002117149,0.017268446,,0.0125
2016,,,0.049120235,0.065619742,0.02970297,,0.33201581,0.098591549,0.074875208,0.096774194,0.067686602,,0.022222222,0.00076746,0.088785047,0.086124402,0.029411765,0.104849279,,,,0.086294416,0.106666667,0.054863682,0.117857143,,0,0.00984252,0.004368932,0.112033195,0,0.066037736,0.341836735,0,,0,0.041666667,,0,0.050823193,0.000683761,0,0.08,0.093126386,0.177570093,0.160714286,0.07073955,0.024691358,,,0.005792305,0.071428571,0,0.083333333,0.008230453,0.138592751,0,0.14159292,0.079584775,0,0.330827068,,0.021505376,,0.126582278,0.137362637,0.068027211,,0,0.022900763,,0.016666667,0.014604151,0.0058873,0.553719008,0.068965517,0.157754011,0.00952381,0.008333333,0.157142857,0.027027027,0,0.007142857,0.084409136,0.276785714,0.005792305,0.038167939,,0.01305483,0.002085506,0.021459227,,0,,0.024767802,0.297752809,,0.074468085,0.441414141,0.002998501,,0,0.00984252,,0.037593985,0,0.207843137,0.026455026,,,0.033333333,0.002117149,0.017268446,,0.0125
2017,,,0.013711152,0.063316583,0.037914692,0.072916667,0.35125448,,0.099866844,0.06,0.118045113,,0.021857923,0.001532567,0.093495935,,0.029268293,0.145961266,,0,0.160493827,0.103139013,0.134199134,0.05483116,0.140429338,,0,0.00967118,0.005203406,0.116975749,0,,0.336683417,0,0.391304348,0,0.044585987,,0,0.082057563,0.001496558,0.035714286,0.46,0.092307692,0.179856115,0.160305344,0.067610063,0.029069767,,0.018867925,0.007827059,0.166666667,0,0.082191781,0.01048951,0.145530146,0,0.14159292,0.085324232,0,0.330882353,0.065116279,0.021505376,,0.105263158,0.12195122,0.128472222,0.002728513,0,,,0.0145,0.016312057,,0.553719008,0.066666667,0.15625,0.014925373,,,0.025641026,0,,0.097053726,0.284552846,0.007827059,0.026666667,0.115384615,0.012345679,0.002057613,0.033613445,,0,,0.022788204,0.274725275,,0.075,0.443119266,0.003337041,,0.057471264,0.010752688,,,0.006896552,0.259136213,0.060679612,,0,,0.00250941,0.017241379,,0.022727273
2018,,,0.054018445,0.060164084,0.041284404,0.072164948,,,0.143478261,0.103896104,0.180191693,0,0.065663475,0.001532567,0.090551181,,,0.117372717,,0.291262136,0.160493827,0.103139013,0.177777778,0.053859964,0.127294257,,0.012658228,,0.005633803,0.11405167,0,0.064814815,0.336683417,,,0.087719298,0.043478261,,0.05,0.083484574,0.006103764,0.033898305,0.458937198,0.091106291,0.225274725,,0.06626506,0.028735632,0.018779343,0.022304833,0.008931639,,,0.082191781,0.00990099,0.151209677,0,,0.085324232,0,,,,,,0.114035088,0.213815789,,0,,,0.012987013,0.013803681,0.005877414,,0.066666667,0.164141414,0.020408163,0.009259259,0.132352941,0.025641026,0,,0.097053726,0.288,0.008747376,0.026666667,,,0.001919386,0.03125,,0,,0.022813688,0.287292818,,0.072961373,0.436893204,0.002807674,,0.196392786,0.01618705,,,0.006802721,0.29969419,0.060661765,,0,0.032786885,0.00243309,0.017160686,,0.052356021
2018,,,0.054018445,0.060164084,0.041284404,0.072164948,,,0.143478261,0.103896104,0.180191693,0,0.065663475,0.001532567,0.090551181,,,0.117372717,,0.291262136,0.160493827,0.103139013,0.177777778,0.053859964,0.127294257,,0.012658228,,0.005633803,0.11405167,0,0.064814815,0.336683417,,,0.087719298,0.043478261,,0.05,0.083484574,0.006103764,0.033898305,0.458937198,0.091106291,0.225274725,,0.06626506,0.028735632,0.018779343,0.022304833,0.008931639,,,0.082191781,0.00990099,0.151209677,0,,0.085324232,0,,,,,,0.114035088,0.213815789,,0,,,0.012987013,0.013803681,0.005877414,,0.066666667,0.164141414,0.020408163,0.009259259,0.132352941,0.025641026,0,,0.097053726,0.288,0.008747376,0.026666667,,,0.001919386,0.03125,,0,,0.022813688,0.287292818,,0.072961373,0.436893204,0.002807674,,0.196392786,0.01618705,,,0.006802721,0.29969419,0.060661765,,0,0.032786885,0.00243309,0.017160686,,0.052356021
2019,,,0.054627249,0.06010929,0.053097345,0.065420561,0.353146853,,0.140200286,0.082568807,0.213318596,0,0.068043742,,0.078431373,,0.021052632,0.088555347,,0.163323782,0.180722892,,,0.054174067,0.122408687,,0.0125,,0.005144995,0.122065728,0,0.063063063,0.336683417,,,0.081967213,0.043209877,,0.05,0.085493657,0.006094464,0.033333333,0.216802168,0.064864865,0.215384615,0.186206897,0.070229008,0.028901734,0.01843318,0.032967033,0.009300834,,,0.082191781,0.00952381,0.149224806,0,0.154185022,,0,0.328571429,,,,,0.13671875,0.208144796,,0,0.02,0.066225166,,0.015373864,0.005877414,,,0.165853659,0.02,0.009009009,0.125874126,,0,0.006514658,0.089725036,0.285714286,0.009300834,0.024,,,0.00191022,0.03125,,0,,0.02166065,,0.023839398,0.085020243,0.436253252,0.002579536,0.033898305,0.244262295,0.012019231,,,0.006329114,0.327536232,0.064748201,,0,,0.002188184,0.017611026,0.067567568,0.067615658
2019,,,0.054627249,0.06010929,0.053097345,0.065420561,0.353146853,,0.140200286,0.082568807,0.213318596,0,0.068043742,,0.078431373,,0.021052632,0.088555347,,0.163323782,0.180722892,,,0.054174067,0.122408687,,0.0125,,0.005144995,0.122065728,0,0.063063063,0.336683417,,,0.081967213,0.043209877,,0.05,0.085493657,0.006094464,0.033333333,0.216802168,0.064864865,0.215384615,0.186206897,0.070229008,0.028901734,0.01843318,0.032967033,0.009300834,,,0.082191781,0.00952381,0.149224806,0,0.154185022,,0,0.328571429,,,,,0.13671875,0.208144796,,0,0.02,0.066225166,,0.015373864,0.005877414,,,0.165853659,0.02,0.009009009,0.125874126,,0,0.006514658,0.089725036,0.285714286,0.009300834,0.024,,,0.00191022,0.03125,,0,,0.02166065,,0.023839398,0.085020243,0.436253252,0.002579536,0.033898305,0.244262295,0.012019231,,,0.006329114,0.327536232,0.064748201,,0,,0.002188184,0.017611026,0.067567568,0.067615658
2020,,,0.061127596,0.06008193,0.052863436,0.050505051,0.352739726,,0.14,0.079310345,0.225,0,0.061755146,,,,0.020134228,0.055717054,,0.154676259,,,,0.055178268,0.128735632,,0.086956522,,0.005128205,0.115919629,0.007760532,0.063063063,0.336683417,0.042944785,0.434782609,0.081967213,0.040935673,0.067092652,0.043478261,0.082787373,0.006699805,,0.189761695,0.08974359,,,0.070121951,0.027472527,,,0.0096875,,,,0.009036145,0.148362235,0.105022831,0.154185022,,0,0.321917808,,,,,0.119453925,0.207126949,,0.005313496,0.02,0.066225166,,0.016666667,,,0.066666667,0.16464891,0.019480519,0.008928571,0.125827815,,0,,0.096551724,0.284615385,0.009009009,,,,0.00191022,0.03875969,0.066666667,0,,0.020477816,,0.015404365,0.084745763,,0.002549936,0.036065574,0.2416,0.018092105,,,0.00621118,0.298013245,,,0.045454545,,0.002134472,0.017584098,0.044776119,0.063973064
2021,,,0.054417414,0.059599636,0.052863436,0.050505051,0.353741497,,,0.088114754,0.221473029,0.004975124,0.060606061,0.00311284,0.111111111,,0.019672131,0.058344284,0.02811245,0.149825784,0.211111111,,,0.054694108,0.129727353,,0.086021505,,0.005045872,0.108674929,0.009174312,0.064814815,,0.037837838,,0.075757576,0.040229885,,0.032258065,0.058944483,0.007941356,0.04109589,0.225092251,0.068791946,0.223021583,,0.070121951,0.02688172,,0.032846715,0.011515152,,,0.081081081,0.008902077,,0.107623318,0.154185022,,,0.32885906,,,,,0.116504854,0.219745223,,0.007874016,,0.066050198,,0.015172414,0.007607777,,,0.163069544,0.005347594,,0.126666667,,0.005434783,,0.089660159,0.28358209,0.009987516,0.024,,0.014184397,0.00191022,0.03875969,,0.004273504,,0.02184466,,,0.088461538,0.4391717,0.002489627,0.034090909,0.244094488,0.016467066,,,,0.308510638,0.064748201,,,,0.002351558,0.01728024,0.067567568,0.080645161
2022,,,0.060289855,0.059062218,,0.05,0.351351351,,0.168367347,0.082474227,0.225995602,0.004366812,0.058473736,0.003115265,,,0.019047619,0.043537681,0.028340081,,,,0.158273381,0.055048488,0.134177215,0.002531646,0.084210526,,0.006638217,0.116083916,0.038492382,0.064220183,0.333333333,,,,0.04519774,,0.029411765,0.137691927,0.008249853,0.032967033,0.213768116,0.06227758,0.223021583,,0.07204611,,,0.032374101,0.011508177,,,0.081081081,0.008695652,0.148362235,0.107142857,0.154185022,,0.5,0.33557047,,,,,0.113564669,0.203862661,,0.008953168,,0.066050198,,0.015161957,0.007413509,,0.034482759,0.16152019,0.005154639,0.008928571,0.140186916,,,,0.112984823,0.284722222,0.027278776,,,0.014184397,0.00190295,0.038610039,,0.004032258,0.147210502,0.027237354,,,0.08778626,0.439655172,0.002482416,0.022922636,0.251170047,0.016845329,,,0.006097561,,,,0.043478261,0.032786885,0.002296211,0.019985724,0.044776119,0.069306931
2023,,,0.053735256,,,,,,0.113475177,,,,,,,,,,,,,,,0.054606553,,0.002487562,,,0.006594442,,,,0.346534653,0.029288703,,,0.04494382,,0.027777778,,,,,,,,,,,,,,,,,,,0.154185022,,,,,,,,,,,0.006968641,,,,,,,,,0.005076142,,,,,,,,,,,,,,,,,,,,,0.456544503,,,0.247482014,,,,,,,,,,,,,
