year,aries,plc4x,chemistry-opencmis,jackrabbit-oak,lens,ws-axiom,activemq,commons-io,tajo,storm,knox,ambari,commons-vfs,struts,ignite,commons-configuration,httpcomponents-core,oozie,tez,jena,falcon,openmeetings,mina-sshd,flume,cassandra,fluo,curator,karaf,commons-text,commons-email,cayenne,tapestry-5,qpid-proton,ofbiz-framework,spark,james-project,mrunit,mina-vysper,hudi,crunch,servicemix,solr,isis,manifoldcf,stratos,xmlgraphics-commons,accumulo,commons-lang,phoenix,fluo-recipes,cocoon,any23,creadur-rat,parquet-mr,hive,polygene-java,opennlp,commons-collections,bval,avro,reef,metamodel,whirr,mina,deltaspike,drill,clerezza,sling-org-apache-sling-models-impl,maven,hbase,commons-dbutils,giraph,continuum,bookkeeper,jclouds,axis-axis2-java-core,geode,shiro,pdfbox,syncope,commons-csv,lucene-solr,iotdb,olingo-odata4,sqoop,archiva,httpcomponents-client,shindig,flink,commons-dbcp,myfaces,skywalking,cxf,oodt,directory-kerby,pig,commons-compress,beam
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,0.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,
2007,,,,,,0.0,0.0,0.0,,,,,0.0,3.0,,0.0,,,,,,,,,,,,,,0.0,0.0,3.0,,,,,,,,,,1.0,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,0.0,5.0,,,,,,,
2008,,,,,,,0.0,0.0,,,,,,5.0,,0.0,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,5.0,0.0,,,,1.0,,7.0,,,,,
2009,,,,,,,0.0,,,,,,,5.0,,,,,,,,,0.0,,,,,,,0.0,0.0,5.0,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,2.0,,0.0,,,,,,,,,,,3.0,,0.0,,0.0,,,,,,,,,0.0,,,,4.0,,,,0.0,4.0,,9.0,,,,0.0,
2009,,,,,,,0.0,,,,,,,5.0,,,,,,,,,0.0,,,,,,,0.0,0.0,5.0,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,2.0,,0.0,,,,,,,,,,,3.0,,0.0,,0.0,,,,,,,,,0.0,,,,4.0,,,,0.0,4.0,,9.0,,,,0.0,
2010,,,,,,,0.0,0.0,,,,,0.0,3.0,,,0.0,,,,,,0.0,,0.0,,,2.0,,0.0,0.0,2.0,,,0.0,,,0.0,,,,3.0,,,,0.0,,4.0,,,,,,,0.0,1.0,,,,0.0,,,,,,,,,1.0,7.0,,,0.0,,4.0,0.0,,3.0,,,,3.0,,,,,1.0,9.0,,0.0,4.0,,8.0,0.0,,0.0,,
2011,,,0.0,,,,0.0,0.0,,,,,0.0,3.0,,0.0,0.0,,,,,,0.0,,0.0,,1.0,9.0,,0.0,2.0,7.0,,,,,,3.0,,,,0.0,,,,,,5.0,,,0.0,,,,3.0,2.0,,0.0,,0.0,,,4.0,,,,,,1.0,11.0,3.0,,,0.0,16.0,0.0,,,,,,0.0,,,,4.0,3.0,11.0,,,,,9.0,0.0,,0.0,0.0,
2012,,,1.0,1.0,,,0.0,0.0,,,1.0,,,1.0,,1.0,4.0,1.0,,0.0,,,0.0,5.0,0.0,,1.0,7.0,,0.0,1.0,4.0,,,0.0,,0.0,,,5.0,,6.0,1.0,,,2.0,0.0,,,,,0.0,0.0,,0.0,2.0,0.0,,0.0,2.0,,,6.0,0.0,0.0,,,,0.0,9.0,3.0,2.0,,0.0,16.0,0.0,,3.0,,0.0,,6.0,,,0.0,2.0,3.0,5.0,,,,,8.0,3.0,,0.0,0.0,
2013,,,1.0,4.0,,0.0,1.0,,0.0,0.0,3.0,12.0,,3.0,,1.0,3.0,3.0,4.0,0.0,2.0,,0.0,4.0,0.0,,2.0,4.0,,2.0,2.0,4.0,2.0,,0.0,,3.0,,,2.0,,5.0,1.0,,0.0,,0.0,3.0,,,,1.0,0.0,,2.0,1.0,0.0,3.0,,1.0,,1.0,0.0,5.0,0.0,0.0,2.0,,2.0,0.0,2.0,8.0,3.0,0.0,13.0,,,2.0,,0.0,,5.0,,,0.0,1.0,5.0,4.0,2.0,,,,8.0,0.0,,0.0,0.0,
2014,,,1.0,8.0,3.0,,0.0,,1.0,4.0,2.0,27.0,,3.0,,1.0,3.0,4.0,7.0,0.0,1.0,,0.0,4.0,0.0,0.0,3.0,3.0,,1.0,1.0,4.0,3.0,,2.0,,2.0,,,4.0,1.0,7.0,1.0,,2.0,4.0,10.0,1.0,2.0,,,0.0,0.0,,13.0,,0.0,,,1.0,,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,36.0,2.0,7.0,1.0,0.0,13.0,,,1.0,,0.0,0.0,7.0,,7.0,0.0,3.0,5.0,3.0,13.0,0.0,6.0,,11.0,3.0,,5.0,0.0,
2015,,,1.0,8.0,9.0,1.0,5.0,0.0,3.0,8.0,3.0,33.0,,2.0,7.0,2.0,2.0,1.0,9.0,1.0,7.0,0.0,2.0,3.0,0.0,0.0,3.0,4.0,,1.0,6.0,2.0,2.0,,13.0,,,,,1.0,0.0,9.0,0.0,2.0,1.0,0.0,8.0,1.0,9.0,,,,,,29.0,1.0,0.0,1.0,1.0,0.0,8.0,1.0,,0.0,0.0,8.0,1.0,5.0,3.0,36.0,,,1.0,0.0,8.0,0.0,0.0,2.0,,0.0,0.0,9.0,,7.0,3.0,4.0,3.0,,19.0,0.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,
2016,,,1.0,13.0,5.0,1.0,5.0,0.0,2.0,5.0,3.0,50.0,0.0,5.0,3.0,1.0,1.0,3.0,9.0,0.0,11.0,0.0,3.0,9.0,0.0,1.0,0.0,8.0,,,10.0,1.0,2.0,,14.0,7.0,,,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,7.0,3.0,9.0,1.0,,,1.0,,29.0,,0.0,,1.0,1.0,6.0,1.0,,0.0,0.0,4.0,0.0,3.0,,38.0,,6.0,,0.0,4.0,1.0,11.0,4.0,,0.0,0.0,10.0,,8.0,,1.0,2.0,,47.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,
2017,,0.0,0.0,16.0,4.0,,1.0,0.0,,14.0,4.0,45.0,0.0,4.0,11.0,2.0,2.0,6.0,10.0,2.0,2.0,0.0,2.0,9.0,0.0,0.0,1.0,,0.0,2.0,2.0,1.0,,,11.0,12.0,,,4.0,3.0,0.0,17.0,0.0,2.0,,0.0,4.0,5.0,12.0,0.0,,2.0,,,39.0,2.0,0.0,,,0.0,0.0,5.0,,,0.0,9.0,,4.0,0.0,59.0,4.0,,,5.0,5.0,1.0,41.0,1.0,,0.0,0.0,17.0,,8.0,5.0,1.0,4.0,,54.0,0.0,1.0,12.0,10.0,2.0,2.0,2.0,3.0,
2018,,10.0,,13.0,1.0,1.0,1.0,,,10.0,8.0,45.0,0.0,6.0,26.0,2.0,,5.0,,0.0,1.0,1.0,4.0,7.0,0.0,0.0,1.0,11.0,0.0,,5.0,0.0,,,11.0,16.0,,,6.0,,,13.0,0.0,2.0,,1.0,10.0,1.0,8.0,2.0,,1.0,1.0,,25.0,,0.0,5.0,1.0,,,1.0,,0.0,0.0,17.0,,5.0,2.0,55.0,,,,13.0,5.0,0.0,51.0,,0.0,0.0,2.0,13.0,,3.0,,,0.0,,70.0,2.0,1.0,15.0,12.0,1.0,0.0,,1.0,
2018,,10.0,,13.0,1.0,1.0,1.0,,,10.0,8.0,45.0,0.0,6.0,26.0,2.0,,5.0,,0.0,1.0,1.0,4.0,7.0,0.0,0.0,1.0,11.0,0.0,,5.0,0.0,,,11.0,16.0,,,6.0,,,13.0,0.0,2.0,,1.0,10.0,1.0,8.0,2.0,,1.0,1.0,,25.0,,0.0,5.0,1.0,,,1.0,,0.0,0.0,17.0,,5.0,2.0,55.0,,,,13.0,5.0,0.0,51.0,,0.0,0.0,2.0,13.0,,3.0,,,0.0,,70.0,2.0,1.0,15.0,12.0,1.0,0.0,,1.0,
2019,1.0,7.0,,10.0,,0.0,2.0,,2.0,15.0,5.0,12.0,0.0,3.0,13.0,2.0,,4.0,10.0,1.0,,1.0,1.0,,0.0,,1.0,2.0,0.0,,3.0,1.0,,3.0,20.0,15.0,,,6.0,4.0,,16.0,0.0,1.0,,1.0,11.0,2.0,8.0,,1.0,1.0,,,26.0,,0.0,3.0,0.0,4.0,,2.0,,0.0,0.0,11.0,1.0,2.0,7.0,36.0,,,,13.0,1.0,,58.0,6.0,0.0,0.0,1.0,16.0,24.0,6.0,,3.0,,,71.0,2.0,1.0,32.0,7.0,0.0,0.0,,0.0,
2019,1.0,7.0,,10.0,,0.0,2.0,,2.0,15.0,5.0,12.0,0.0,3.0,13.0,2.0,,4.0,10.0,1.0,,1.0,1.0,,0.0,,1.0,2.0,0.0,,3.0,1.0,,3.0,20.0,15.0,,,6.0,4.0,,16.0,0.0,1.0,,1.0,11.0,2.0,8.0,,1.0,1.0,,,26.0,,0.0,3.0,0.0,4.0,,2.0,,0.0,0.0,11.0,1.0,2.0,7.0,36.0,,,,13.0,1.0,,58.0,6.0,0.0,0.0,1.0,16.0,24.0,6.0,,3.0,,,71.0,2.0,1.0,32.0,7.0,0.0,0.0,,0.0,
2020,1.0,2.0,,7.0,,,1.0,4.0,,10.0,13.0,,0.0,4.0,21.0,1.0,,,13.0,2.0,,2.0,4.0,,7.0,,2.0,8.0,1.0,,5.0,1.0,,1.0,4.0,13.0,,,24.0,,,20.0,2.0,0.0,,,13.0,1.0,,,0.0,0.0,,,30.0,,0.0,,0.0,1.0,,1.0,,0.0,0.0,4.0,0.0,3.0,,37.0,3.0,,,13.0,0.0,,39.0,4.0,0.0,3.0,4.0,17.0,10.0,3.0,,2.0,,,80.0,1.0,1.0,30.0,10.0,,1.0,,0.0,
2021,2.0,7.0,,2.0,,0.0,2.0,2.0,,0.0,9.0,2.0,3.0,4.0,17.0,,,2.0,6.0,2.0,,2.0,2.0,,4.0,,2.0,3.0,,,3.0,1.0,,0.0,14.0,17.0,,,30.0,,,4.0,4.0,2.0,,0.0,,1.0,19.0,,,1.0,,8.0,10.0,,1.0,,,0.0,1.0,0.0,,0.0,0.0,4.0,,3.0,10.0,43.0,,,,14.0,2.0,1.0,32.0,3.0,2.0,1.0,3.0,9.0,20.0,,,1.0,,,67.0,3.0,1.0,18.0,8.0,0.0,,,4.0,
2022,0.0,,,10.0,,1.0,1.0,,,1.0,,0.0,,1.0,6.0,6.0,,,8.0,1.0,,1.0,1.0,5.0,6.0,,1.0,1.0,2.0,,1.0,1.0,,0.0,4.0,12.0,,,28.0,,,21.0,2.0,0.0,,1.0,15.0,,,,,1.0,3.0,2.0,41.0,,0.0,,0.0,1.0,0.0,,,0.0,0.0,7.0,,2.0,4.0,22.0,,,,13.0,0.0,1.0,25.0,2.0,0.0,1.0,1.0,0.0,9.0,1.0,,3.0,,,49.0,,0.0,7.0,3.0,,0.0,,2.0,41.0
2023,,,,,,,0.0,2.0,,,,0.0,,,,1.0,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,0.0,
